name,full_name,position,price
Vozinha,Josimar José Évora Dias,Goalkeeper,3.9
CJ dos Santos,Carlos Joaquim Antunes dos Santos,Goalkeeper,3.6
Márcio da Rosa,Márcio Salomão Brazão da Rosa,Goalkeeper,3.5
Telmo Arcanjo,Telmo Emanuel Gomes Arcanjo,Midfielder,4.9
Deroy Duarte,Deroy d'Encarnação Duarte,Midfielder,4.9
Laros Duarte,Laros Michael d'Encarnação  Duarte,Midfielder,5.1
Laryea,Richie Laryea,Defender,3.9
Cornelius,Derek Cornelius,Defender,4
Waterman,Joel Waterman,Defender,3.7
De Fougerolles,Luc De Fougerolles,Defender,3.5
David,Jonathan David,Forward,7
Larin,Cyle Larin,Forward,6.2
Buchanan,Tajon Buchanan,Forward,5.5
Millar,Liam Millar,Forward,5.1
Oluwaseyi,Tani Oluwaseyi,Forward,4.9
Crépeau,Maxime Crépeau,Goalkeeper,4
St. Clair,Dayne St. Clair,Goalkeeper,3.8
Goodman,Owen Goodman,Goalkeeper,3.5
Ahmed,Ali Ahmed,Midfielder,4.9
Sigur,Niko Sigur,Midfielder,4.9
Saliba,Nathan Saliba,Midfielder,5.1
Choinière,Mathieu Choinière,Midfielder,5.3
Osorio,Jonathan Osorio,Midfielder,5.6
Koné,Ismaël Koné,Midfielder,6
Castaño,Kevin Castaño,Midfielder,4.3
Ríos,Richard Ríos,Midfielder,4.7
Muñoz,Daniel Muñoz,Defender,4.6
Lucumí,Jhon Lucumí,Defender,4.3
Sánchez,Dávinson Sánchez,Defender,4.3
Machado,Déiver Machado,Defender,3.9
Mojica,Johan Mojica,Defender,3.9
Arias,Santiago Arias,Defender,3.9
Díaz,Luis Díaz,Midfielder,8.1
Córdoba,Jhon Córdoba,Forward,6.1
Suárez,Luis Suárez,Forward,5.7
Gómez,Andrés Gómez,Forward,4.9
Vargas,Camilo Vargas,Goalkeeper,4.3
Ospina,David Ospina,Goalkeeper,4
Montero,Álvaro Montero,Goalkeeper,3.8
Lerma,Jefferson Lerma,Midfielder,4.9
Puerta,Gustavo Puerta,Midfielder,5.3
Quintero,Juan Fernando Quintero,Midfielder,5.6
Campaz,Jaminton Campaz,Midfielder,5.5
Arias,Jhon Arias,Midfielder,6.3
Rodríguez,James Rodríguez,Midfielder,6.5
Carrascal,Jorge Carrascal,Midfielder,6.1
Wan-Bissaka,Aaron Wan-Bissaka,Defender,4.3
Masuaku,Arthur Masuaku,Defender,4.2
Mbemba,Chancel Mbemba,Defender,4.2
Tuanzebe,Axel Tuanzebe,Defender,4
Kayembe,Joris Kayembe,Defender,3.9
Batubinsika,Dylan Batubinsika,Defender,3.8
Kapuadi,Steve Kapuadi,Defender,3.7
Wissa,Yoane Wissa,Forward,6.2
Banza,Simon Banza,Forward,5.6
Bakambu,Cédric Bakambu,Forward,6.5
Elia,Meschack Elia,Forward,4.9
Mayele,Fiston Mayele,Forward,4.9
Mbuku,Nathanaël Mbuku,Forward,4.5
Cipenga,Brian Cipenga,Forward,4.2
Mpasi,Lionel Mpasi,Goalkeeper,4
Epolo,Matthieu Epolo,Goalkeeper,3.7
Fayulu,Timothy Fayulu,Goalkeeper,3.6
Mukau,Ngal'ayel Mukau,Midfielder,4.9
Moutoussamy,Samuel Moutoussamy,Midfielder,5.1
Sadiki,Noah Sadiki,Midfielder,5.3
Pickel,Charles Pickel,Midfielder,5.3
Kayembe,Edo Kayembe,Midfielder,5.6
Bongonda,Théo Bongonda,Midfielder,6.2
Inao Oulaï,Christ Inao Oulaï,Midfielder,4.6
Ndicka,Evan Ndicka,Defender,4.4
Singo,Wilfried Singo,Defender,4.4
Diomande,Ousmane Diomande,Defender,4.3
Kossounou,Odilon Kossounou,Defender,4.3
Doué,Guéla Doué,Defender,3.9
Agbadou,Emmanuel Agbadou,Defender,3.9
Konan,Ghislain Konan,Defender,4
Diomande,Yan Diomande,Forward,5.9
Pépé,Nicolas Pépé,Forward,5.9
Wahi,Elye Wahi,Forward,5.9
Diallo,Amad Diallo,Forward,5.9
Adingra,Simon Adingra,Forward,5.6
Guessand,Evann Guessand,Forward,5.3
Touré,Bazoumana Touré,Forward,4.5
Lafont,Alban Lafont,Goalkeeper,4.1
Yahia Fofana,Yahia Fofana,Goalkeeper,4.2
Koné,Mohamed Koné,Goalkeeper,3.7
Guiagon,Parfait Guiagon,Midfielder,4.9
Seri,Jean Michaël Seri,Midfielder,5.5
Sangaré,Ibrahim Sangaré,Midfielder,5.8
Kessie,Franck Kessie,Midfielder,5.9
Seko Fofana,Seko Fofana,Midfielder,6.8
Sucic,Petar Sucic,Midfielder,4.2
Stanisic,Josip Stanisic,Defender,4.3
Sutalo,Josip Sutalo,Defender,4.3
Caleta-Car,Duje Caleta-Car,Defender,4
Pongracic,Marin Pongracic,Defender,4
Erlic,Martin Erlic,Defender,3.9
Vuskovic,Luka Vuskovic,Defender,3.7
Budimir,Ante Budimir,Forward,6.8
Kramaric,Andrej Kramaric,Forward,6.2
Perisic,Ivan Perisic,Forward,5.4
Pasalic,Marco Pasalic,Forward,5.3
Musa,Petar Musa,Forward,5.1
Matanovic,Igor Matanovic,Forward,4.9
Livakovic,Dominik Livakovic,Goalkeeper,4.5
Pandur,Ivor Pandur,Goalkeeper,3.9
Sucic,Luka Sucic,Midfielder,4.9
Fruk,Toni Fruk,Midfielder,4.9
Moro,Nikola Moro,Midfielder,5.6
Jakic,Kristijan Jakic,Midfielder,5.6
Vlasic,Nikola Vlasic,Midfielder,6.1
Modric,Luka Modric,Midfielder,6.2
Pasalic,Mario Pasalic,Midfielder,6.4
Baturina,Martin Baturina,Midfielder,6.5
Chong,Tahith Chong,Midfielder,4.2
Roemeratoe,Godfried Roemeratoe,Midfielder,4.7
Leandro Bacuna,Leandro Bacuna,Defender,4
Bazoer,Riechedly Bazoer,Defender,3.8
Brenet,Joshua Brenet,Defender,3.7
Sambo,Shurandy Sambo,Defender,3.6
Floranus,Sherel Floranus,Defender,3.6
van Eijma,Roshon van Eijma,Defender,3.5
Martha,Ar'Jany Martha,Defender,3.5
Gaari,Juriën Gaari,Defender,3.5
Comenencia,Livano Comenencia,Defender,4.5
Noslin,Tyrese Noslin,Defender,3.5
Kuwas,Brandley Kuwas,Forward,4.4
Hansen,Sontje Hansen,Forward,4.4
Gorré,Kenji Gorré,Forward,4.2
Margaritha,Jearl Margaritha,Forward,4.2
Kastaneer,Gervane Kastaneer,Forward,4
Antonisse,Jeremy Antonisse,Forward,4
Room,Eloy Room,Goalkeeper,3.9
Doornbusch,Trevor Doornbusch,Goalkeeper,3.6
Bodak,Tyrick Bodak,Goalkeeper,3.5
Felida,Kevin Felida,Midfielder,4.5
Bacuna,Juninho Bacuna,Midfielder,5.1
Visinsky,Denis Visinsky,Midfielder,4.9
Krejcí,Ladislav Krejcí,Defender,4.4
Holes,Tomás Holes,Defender,3.9
Jurásek,David Jurásek,Defender,3.9
Hranác,Robin Hranác,Defender,3.9
Zeleny,Jaroslav Zeleny,Defender,3.9
Coufal,Vladimír Coufal,Defender,3.6
Chaloupek,Stepán Chaloupek,Defender,3.5
Schick,Patrik Schick,Forward,7.3
Chory,Tomás Chory,Forward,5.3
Chytil,Mojmír Chytil,Forward,4.9
Kovár,Matej Kovár,Goalkeeper,4.1
Hornícek,Lukás Hornícek,Goalkeeper,3.8
Cerv,Lukás Cerv,Midfielder,5.3
Darida,Vladimír Darida,Midfielder,5.3
Soucek,Tomás Soucek,Midfielder,5.6
Sadílek,Michal Sadílek,Midfielder,5.6
Provod,Lukás Provod,Midfielder,5.9
Sulc,Pavel Sulc,Midfielder,5.9
Denil Castillo,Denil Castillo,Midfielder,4.9
Alcívar,Jordy Alcívar,Midfielder,4.9
Estupiñán,Pervis Estupiñán,Defender,4.8
Preciado,Ángelo Preciado,Defender,4.3
Joel Ordóñez,Joel Ordóñez,Defender,3.9
Torres,Félix Torres,Defender,3.9
Porozo,Jackson Porozo,Defender,3.8
Medina,Yaimar Medina,Defender,3.5
Enner Valencia,Enner Valencia,Forward,5.9
Plata,Gonzalo Plata,Forward,5.6
Yeboah,John Yeboah,Midfielder,5.1
Rodríguez,Kevin Rodríguez,Forward,4.9
Minda,Alan Minda,Forward,4.9
Jordy Caicedo,Jordy Caicedo,Forward,4.9
Anthony Valencia,Anthony Valencia,Midfielder,4.2
Arévalo,Jeremy Arévalo,Forward,4
Galíndez,Hernán Galíndez,Goalkeeper,4.2
Ramírez,Moisés Ramírez,Goalkeeper,3.9
Valle,Gonzalo Valle,Goalkeeper,3.6
Páez,Kendry Páez,Midfielder,5.2
Franco,Alan Franco,Midfielder,5.6
Vite,Pedro Vite,Midfielder,5.2
Moisés Caicedo,Moisés Caicedo,Midfielder,6.8
Marwan Attia,Marwan Attia Fahim Ghallab,Midfielder,4.3
Zizo,Ahmed Mostafa Mohamed Sayed,Midfielder,4.3
Hamdi Fathy,Hamdi Fathy Abdelhalim Abdel Fattah,Midfielder,4.4
Emam Ashour,Emam Ashour Metwally Abdel Ghany,Midfielder,4.6
Mahmoud Saber,Mahmoud Saber Abdelmohsen Hassan,Midfielder,4.9
Mohamed Abdelmonem,Mohamed Abdelmonem El Sayed Mohamed Ahmed,Defender,4
Ahmed Fatouh,Ahmed Mohamed Abou El Fotouh Mohamed,Defender,3.9
Mohamed Hany,Mohamed Hany Gamal El Demerdash,Defender,3.6
Ramy Rabia,Ramy Hisham Abdel Aziz Mostafa Rabia,Defender,3.6
Hossam Abdelmaguid,Hossam Abdelmaguid Abdelsalam Abdelmaguid,Defender,3.6
Tarek Alaa,Tarek Alaa El Gebaly,Defender,3.5
Yasser Ibrahim,Yasser Ahmed Ibrahim El Hanafi,Defender,3.5
Omar Marmoush,Omar Khaled Mohamed Abdelsalam Marmoush,Forward,7.8
Trezeguet,Mahmoud Ahmed Ibrahim Hassan,Forward,5.6
Hassan,Haissem Hassan,Forward,4.6
Mohamed El Shenawy,Mohamed El Sayed Mohamed El Shenawy Gomaa,Goalkeeper,3.6
El Mahdy Soliman,El Mahdy Mohamed Soliman Ibrahim,Goalkeeper,3.6
Mostafa Shobeir,Mostafa Ahmed Abdelaziz Mohamed Shobeir,Goalkeeper,3.5
Mohamed Alaa,Mohamed Alaa,Goalkeeper,3.5
Mohanad Lasheen,Mohanad Mostafa Ahmed Abdelmonem Lasheen,Midfielder,5.3
Ibrahim Adel,Ibrahim Adel Ali Mohamed Hassan,Midfielder,5.9
O'Reilly,Nico O'Reilly,Defender,4.7
Livramento,Tino Livramento,Defender,4.6
Guéhi,Marc Guéhi,Defender,5.1
Burn,Dan Burn,Defender,4.5
Konsa,Ezri Konsa,Defender,4.8
Stones,John Stones,Defender,4.6
Spence,Djed Spence,Defender,4.5
Kane,Harry Kane,Forward,10.5
Saka,Bukayo Saka,Midfielder,9.5
Rashford,Marcus Rashford,Midfielder,7.5
Gordon,Anthony Gordon,Midfielder,7
Rogers,Morgan Rogers,Midfielder,7.2
Madueke,Noni Madueke,Forward,6.1
Pickford,Jordan Pickford,Goalkeeper,4.8
Henderson,Dean Henderson,Goalkeeper,4.2
Trafford,James Trafford,Goalkeeper,4
Henderson,Jordan Henderson,Midfielder,5.1
Mainoo,Kobbie Mainoo,Midfielder,6.1
Anderson,Elliot Anderson,Midfielder,6.5
Rice,Declan Rice,Midfielder,7
Bellingham,Jude Bellingham,Midfielder,8.3
Hernández,Theo Hernández,Defender,5
Lacroix,Maxence Lacroix,Defender,4.5
Upamecano,Dayot Upamecano,Defender,5.3
Konaté,Ibrahima Konaté,Defender,4.9
Hernández,Lucas Hernández,Defender,5.2
Digne,Lucas Digne,Defender,5
Gusto,Malo Gusto,Defender,5.1
Mbappé,Kylian Mbappé,Forward,10.5
Dembélé,Ousmane Dembélé,Midfielder,10
Thuram,Marcus Thuram,Forward,7.5
Doué,Désiré Doué,Midfielder,7.5
Maignan,Mike Maignan,Goalkeeper,5
Samba,Brice Samba,Goalkeeper,4.5
Kanté,N'Golo Kanté,Midfielder,5.1
Rabiot,Adrien Rabiot,Midfielder,6.4
Zaïre-Emery,Warren Zaïre-Emery,Midfielder,6.1
Koné,Manu Koné,Midfielder,6.1
Akliouche,Maghnes Akliouche,Midfielder,6.4
Tchouaméni,Aurélien Tchouaméni,Midfielder,6.5
Cherki,Rayan Cherki,Midfielder,8
