tm_id,tm_name,understat_id,understat_name
241457,Derrick Luckassen,7163,Derrick Luckassen
69246,Préjuce Nakoulma,5715,Prejuce Nakoulma
126741,Jairo Morillas,4089,Jairo Morillas
118008,Patrick Ekeng,4079,Patrick Ekeng
74954,Saúl Berjón,2134,Saúl Berjón
61344,Borja Viguera,2402,Borja Viguera
171307,Joshua Brillante,3811,Joshua Brillante
37852,Démé N'Diaye,4845,Deme N'Diaye
300447,Aleksey Gerasimov,4586,Aleksey Gerasimov
196836,Devante Parker,432,Devante Parker
198974,Willyan,11086,Willyan
65239,Jorge Morcillo,4123,Jorge Morcillo
186862,Enzo Roco,2109,Enzo Roco
295331,Isaac Success,1724,Isaac Success
199369,Sandro Ramírez,2537,Sandro Ramírez
33763,Massimo Coda,3832,Massimo Coda
102470,Antonino Ragusa,1481,Antonino Ragusa
244927,Accursio Bentivegna,1535,Accursio Bentivegna
66109,Fabio Daprelà,1909,Fabio Daprelà
169249,Juan Sánchez Miño,4017,Juan Sánchez Miño
163690,Franco Signorelli,1607,Franco Signorelli
234249,Federico Andrada,4739,Federico Andrada
197838,Jamie Vardy,755,Jamie Vardy
124700,Dmitriy Stotskiy,2906,Dmitriy Stotskiy
27019,Vladimir Korytko,4598,Vladimir Korytko
88610,Evgeniy Gapon,3044,Evgeniy Gapon
29065,Abel Gómez,4066,Abel Gómez
79352,Quique González,4188,Quique González
93330,Deivid,4072,Deivid
290951,Aboubakar Kamara,4866,Aboubakar Kamara
16956,Slawomir Peszko,4276,Slawomir Peszko
75680,Thomas Bertels,4363,Thomas Bertels
92947,Sergi Gómez,2282,Sergi Gómez
120651,Vincent Le Goff,3464,Vincent Le Goff
57423,Florin Gardos,4405,Florin Gardos
67283,Ben Hamer,1759,Ben Hamer
288721,Egor Sorokin,3105,Egor Sorokin
204195,Mayoro N'Doye,4881,Mayoro N'Doye
230457,Bruno Gaspar,6173,Bruno Gaspar
176997,Anderson Carvalho,5902,Anderson Carvalho
207302,Sergio Rico,2072,Sergio Rico
197300,Federico Bernardeschi,1424,Federico Bernardeschi
30782,Santiago Gentiletti,1107,Santiago Gentiletti
61751,Antonio Mazzotta,3997,Antonio Mazzotta
76406,Abdelkader Ghezzal,3831,Abdelkader Ghezzal
194218,Yeltsin Tejeda,4713,Yeltsin Tejeda
5286,Gaël Givet,4880,Gaël Givet
13582,Karl Henry,4394,Karl Henry
147094,José Izquierdo,6231,José Izquierdo
262226,Timothy Castagne,6157,Timothy Castagne
314959,Obbi Oulare,898,Obbi Oularé
214715,Branko Jovicic,3082,Branko Jovicic
191217,Héctor Bellerín,492,Héctor Bellerín
181112,Sergi Samper,2492,Sergi Samper
45178,Valentin Stocker,32,Valentin Stocker
303412,Mitsuru Maruoka,4379,Mitsuru Maruoka
148209,Matti Steinmann,4374,Matti Steinmann
93535,Michael Heinloth,4257,Michael Heinloth
189410,Rodrigo Aguirre,1978,Rodrigo Aguirre
122538,Anthony Mfa Mezui,4731,Anthony Mfa Mezui
98558,Anton Kilin,3190,Anton Kilin
74448,Andrea Rispoli,1274,Andrea Rispoli
150058,Denis Kutin,2825,Denis Kutin
263963,Aleksandr Zuev,2826,Aleksandr Zuev
157373,Vladlen Yurchenko,198,Vladlen Yurchenko
124083,Ashton Götz,304,Ashton Götz
192266,Tolcay Cigerci,4378,Tolcay Cigerci
244192,Pierluigi Gollini,1841,Pierluigi Gollini
136605,Carlos Carbonero,1938,Carlos Carbonero
125020,José Luis Palomino,4733,José Luis Palomino
75282,François Bellugou,3457,Francois Bellugou
263918,Aleksandr Golovin,2897,Aleksandr Golovin
322309,Gaël Ondoua,6814,Gael Ondoua
334440,Ilzat Akhmetov,2978,Ilzat Akhmetov
55360,Sergey Kotov,4578,Sergey Kotov
14535,Iago Bouzón,4080,Iago Bouzón
324882,Marvelous Nakamba,8040,Marvelous Nakamba
202925,Bård Finne,143,Bard Finne
28252,Alban Meha,4262,Alban Meha
290770,Karim Achahbar,4840,Karim Achahbar
156934,Tyias Browning,977,Tyias Browning
128911,Tom Thorpe,4513,Tom Thorpe
167268,Paddy McNair,559,Paddy McNair
250478,Matt Targett,884,Matt Targett
273773,Jonathan Benteke,1765,Jonathan Benteke
170994,Yrondu Musavu-King,3572,Yrondu Musavu-King
77708,Geoffroy Serey Dié,61,Geoffroy Serey Dié
263685,Kazuki Nagasawa,352,Kazuki Nagasawa
184915,Edgar Salli,7037,Edgar Salli
286384,Eric Bailly,1739,Eric Bailly
35448,Cezary Wilk,4099,Cezary Wilk
252767,Ivaylo Chochev,1271,Ivaylo Chochev
264046,Sulayman Marreh,4217,Sulayman Marreh
282041,Presnel Kimpembe,3599,Presnel Kimpembe
34543,Dusan Svento,136,Dusan Svento
188501,Thibaut Vion,4859,Thibaut Vion
98274,Jonathan Rivierez,4744,Jonathan Rivierez
332889,Valentin Rongier,3673,Valentin Rongier
111893,Giancarlo González,1534,Giancarlo Gonzalez
270188,Lucas Evangelista,1152,Lucas Evangelista
258889,Dominic Solanke,1679,Dominic Solanke
170963,Patrick Fradj,4791,Patrick Fradj
182962,Boubacar Sylla,4825,Boubacar Sylla
332134,Valentin Belon,4774,Valentin Belon
119555,Maurice Hirsch,389,Maurice Hirsch
165472,Valmir Nafiu,4373,Valmir Nafiu
227240,Jules Iloki,3413,Jules Iloki
291140,Cédric Yambéré,3257,Cédric Yambéré
48424,Ivan Franjic,4633,Ivan Franjic
203842,Viktor Kovalenko,9344,Viktor Kovalenko
216443,Riechedly Bazoer,5299,Riechedly Bazoer
308279,Rolando Mandragora,3821,Rolando Mandragora
272812,Kingsley Ehizibue,7785,Kingsley Ehizibue
284165,Steven Bergwijn,8300,Steven Bergwijn
227039,Younes Namli,7649,Younes Namli
162038,Raúl de Tomás,4229,Raúl de Tomás
196834,David Kinsombi,357,David Kinsombi
5451,Alaeddine Yahia,3524,Alaeddine Yahia
290551,Vincent Koziello,3307,Vincent Koziello
287579,Sofyan Amrabat,7927,Sofyan Amrabat
182811,Gaël Andonian,3801,Gael Andonian
265471,Matt Grimes,1045,Matt Grimes
215089,Djavan Anderson,8259,Djavan Anderson
187491,Timo Baumgartl,71,Timo Baumgartl
163744,Jack Stephens,1735,Jack Stephens
189070,Modou Barrow,720,Modou Barrow
197473,Alberto Grassi,1504,Alberto Grassi
192294,Mohamed Gouaida,4283,Mohamed Gouaida
104290,Alessandro Iacobucci,3836,Alessandro Iacobucci
263027,Alexis Zapata,3879,Alexis Zapata
252688,Carlos Selfa,4216,Carlos Selfa
159037,Ronny Marcos,4333,Ronny Marcos
190284,Maximilian Eggestein,125,Maximilian Eggestein
89542,Janek Sternberg,124,Janek Sternberg
215977,Adrien Thomasson,3549,Adrien Thomasson
287700,Mohamed Fares,1956,Mohamed Fares
282421,Javi Muñoz,4168,Javi Muñoz
104642,Aleksandr Subbotin,4656,Aleksandr Subbotin
250844,Alexander Djiku,3322,Alexander Djiku
303414,Julien Romain,3658,Julien Romain
195605,José Pozo,4485,José Pozo
85240,Eugenio Lamanna,1113,Eugenio Lamanna
191987,Edgar Ié,6010,Edgar Ié
177065,Florin Andone,4068,Florin Andone
63706,Mikel Saizar,4062,Mikel Saizar
240252,Karlo Lulić,3976,Karlo Lulic
147462,Alexander Callens,11337,Alexander Callens
221311,Iván Sánchez,4169,Iván Sánchez
321247,Emiliano Buendía,2203,Emiliano Buendía
71601,Txema Añibarro,4139,Txema Añibarro
119085,Loris Benito,7745,Loris Benito
226005,Franco Fragapane,4144,Franco Fragapane
255508,Iñaki Williams,2399,Iñaki Williams
178024,Famoussa Kone,4797,Famoussa Kone
128895,Jak Alnwick,4455,Jak Alnwick
289510,Samuel Bastien,1343,Samuel Bastien
207929,Dele Alli,645,Dele Alli
244130,Sullay Kaikai,1070,Sullay Kaikai
93768,Richard Strebinger,4349,Richard Strebinger
241109,Aristote Madiani,4776,Aristote Madiani
347895,Cole Kpekawa,4457,Cole Kpekawa
315185,Jake Hesketh,1755,Jake Hesketh
285845,Ainsley Maitland-Niles,1750,Ainsley Maitland-Niles
202886,Ruben Loftus-Cheek,688,Ruben Loftus-Cheek
198116,Federico Dimarco,1324,Federico Dimarco
258916,Kieran Dowell,1032,Kieran Dowell
344151,Bilal Boutobba,4830,Bilal Boutobba
201737,Christopher Jullien,4345,Christopher Jullien
65263,Jordi Masip,2105,Jordi Masip
109436,Oliver Hüsing,415,Oliver Hüsing
162043,Iker Hernández,4213,Iker Hernández
229804,Aritz Elustondo,2228,Aritz Elustondo
258519,Hidde ter Avest,7000,Hidde ter Avest
159522,Patrick Pflücke,4355,Patrick Pflücke
226964,Dominic Gape,4447,Dominic Gape
129893,Molla Wagué,1159,Molla Wagué
256977,Daniel Podence,8291,Daniel Podence
278359,Borja Iglesias,2543,Borja Iglesias
36884,Kyle Lafferty,981,Kyle Lafferty
225122,Gonçalo Guedes,5682,Gonçalo Guedes
256008,Facundo Lescano,4009,Facundo Lescano
79893,Yannis Salibur,3473,Yannis Salibur
170976,Marvin Gakpa,3466,Marvin Gakpa
147602,Kwame Nsor,4853,Kwame Nsor
255942,Nicolò Barella,1409,Nicolò Barella
225593,Pere Milla,4175,Pere Milla
285957,Alex Felip,4087,Álex Felip
243589,Josh Onomah,661,Josh Onomah
226074,Alen Halilovic,2215,Alen Halilovic
268670,Gerard Gumbau,2609,Gerard Gumbau
